iter	Passed	Remaining
0	1	129
1	2	116
2	3	112
3	4	99
4	5	100
5	6	100
6	7	99
7	8	98
8	9	94
9	9	88
10	10	87
11	11	87
12	12	86
13	14	86
14	15	85
15	16	85
16	17	84
17	17	81
18	18	80
19	19	79
20	21	79
21	21	77
22	22	76
23	23	75
24	24	74
25	26	74
26	27	73
27	28	72
28	29	71
29	30	70
30	31	69
31	32	68
32	33	67
33	33	65
34	34	64
35	35	63
36	36	62
37	38	62
38	39	61
39	40	60
40	40	58
41	41	57
42	42	56
43	43	55
44	45	55
45	46	54
46	47	53
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	61	37
62	62	36
63	63	35
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	73	25
74	74	24
75	75	23
76	77	23
77	78	22
78	79	21
79	79	19
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	88	12
88	88	10
89	90	10
90	91	9
91	92	8
92	93	7
93	94	6
94	95	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
