iter	RMSE
0	10387.85243
1	8970.733053
2	7875.16507
3	6978.476102
4	6347.364146
5	5879.551026
6	5457.905626
7	5161.497036
8	4926.148916
9	4774.474337
10	4628.005477
11	4547.375986
12	4473.522107
13	4404.242968
14	4359.248128
15	4304.860525
16	4258.555762
17	4231.798604
18	4206.102564
19	4180.391399
20	4169.893508
21	4155.550188
22	4135.531306
23	4109.383073
24	4084.207912
25	4071.97151
26	4054.535817
27	4047.646979
28	4028.911689
29	4009.702851
30	4000.548613
31	3993.464613
32	3976.624545
33	3955.716719
34	3928.351257
35	3907.693038
36	3870.098353
37	3860.063121
38	3847.781345
39	3843.722505
40	3821.612081
41	3790.529794
42	3787.229393
43	3761.427019
44	3750.284907
45	3738.681067
46	3727.012595
47	3712.43774
48	3689.566766
49	3667.366055
50	3653.172315
51	3644.083807
52	3634.20084
53	3620.072632
54	3612.618021
55	3603.774928
56	3596.685813
57	3583.681303
58	3573.095323
59	3557.327453
60	3555.49118
61	3537.239317
62	3514.051025
63	3504.071338
64	3493.464546
65	3483.545943
66	3478.796278
67	3449.113091
68	3438.12146
69	3434.913087
70	3427.064079
71	3422.931077
72	3408.834509
73	3405.563888
74	3402.91033
75	3392.602441
76	3384.417537
77	3373.384734
78	3349.52721
79	3347.366767
80	3335.30982
81	3329.98818
82	3325.489001
83	3323.636718
84	3321.777006
85	3313.705776
86	3311.850666
87	3310.192539
88	3309.006075
89	3307.653335
90	3300.202751
91	3290.158732
92	3285.477343
93	3268.656937
94	3265.734195
95	3264.977032
96	3253.057463
97	3242.330959
98	3236.882721
99	3230.151972
100	3217.108618
101	3201.947596
102	3192.473277
103	3184.22246
104	3183.078411
105	3178.821081
106	3176.35524
107	3167.996972
108	3153.80466
109	3152.980447
110	3151.720728
111	3150.881366
112	3147.156049
113	3146.500718
114	3130.399265
115	3129.618297
116	3125.440988
117	3123.89251
118	3112.336317
119	3108.998773
120	3104.064706
121	3103.152575
122	3095.000616
123	3082.907667
124	3077.559
125	3065.889273
126	3056.773531
127	3048.806469
128	3041.400475
129	3026.570946
130	3020.093408
131	3014.904968
132	3013.367656
133	3007.028087
134	2998.229997
135	2993.849667
136	2990.740098
137	2967.541551
138	2951.162772
139	2943.823073
140	2936.371154
141	2933.634957
142	2929.983806
143	2922.856147
144	2908.361722
145	2908.062855
146	2900.139761
147	2894.913506
148	2894.260553
149	2890.807371
