iter	Passed	Remaining
0	2	305
1	3	229
2	4	241
3	8	319
4	12	367
5	14	346
6	16	334
7	18	326
8	20	316
9	21	297
10	24	310
11	26	307
12	28	301
13	30	297
14	32	288
15	34	285
16	36	284
17	65	478
18	67	462
19	71	467
20	73	450
21	75	437
22	78	432
23	81	426
24	86	430
25	88	420
26	90	411
27	92	401
28	94	392
29	114	459
30	116	448
31	118	435
32	119	425
33	121	415
34	123	406
35	125	397
36	128	393
37	130	385
38	132	377
39	134	369
40	136	361
41	140	360
42	142	353
43	144	348
44	146	341
45	148	335
46	166	365
47	168	357
48	170	350
49	172	344
50	173	337
51	176	331
52	177	325
53	179	319
54	181	313
55	182	307
56	184	301
57	186	295
58	188	290
59	191	286
60	193	282
61	195	277
62	196	271
63	198	266
64	200	261
65	201	256
66	203	252
67	205	248
68	208	244
69	210	240
70	211	235
71	213	231
72	214	226
73	216	222
74	218	218
75	220	214
76	222	210
77	224	207
78	226	203
79	227	199
80	229	195
81	231	192
82	233	188
83	235	184
84	237	181
85	238	177
86	240	174
87	242	170
88	244	167
89	245	163
90	247	160
91	253	159
92	255	156
93	257	153
94	259	150
95	261	147
96	263	143
97	266	141
98	268	138
99	269	134
100	271	131
101	273	128
102	275	125
103	276	122
104	278	119
105	281	116
106	283	113
107	284	110
108	286	107
109	288	104
110	289	101
111	291	98
112	293	96
113	295	93
114	297	90
115	299	87
116	301	84
117	302	82
118	304	79
119	306	76
120	308	73
121	310	71
122	312	68
123	313	65
124	315	63
125	317	60
126	319	57
127	321	55
128	322	52
129	326	50
130	328	47
131	330	45
132	332	42
133	334	39
134	335	37
135	337	34
136	339	32
137	342	29
138	343	27
139	345	24
140	347	22
141	349	19
142	350	17
143	352	14
144	354	12
145	356	9
146	357	7
147	359	4
148	361	2
149	363	0
